,n,Model,F1_val,Parameters
0,2,HistGradientBoostingClassifier,0.7595962145109122,"{'learning_rate': 0.07884327891567809, 'max_depth': 4, 'min_samples_leaf': 73, 'max_features': 0.5620957553786206, 'l2_regularization': 0.11404989326897183, 'max_bins': 2}"
1,3,HistGradientBoostingClassifier,0.928733571522249,"{'learning_rate': 0.18178435179485608, 'max_depth': 4, 'min_samples_leaf': 93, 'max_features': 0.8189993301209106, 'l2_regularization': 0.3901433648111433, 'max_bins': 255}"
2,13,HistGradientBoostingClassifier,0.7519519642637563,"{'learning_rate': 0.09926375641347923, 'max_depth': 9, 'min_samples_leaf': 142, 'max_features': 0.7103751141131356, 'l2_regularization': 0.03703208973162526, 'max_bins': 2}"
3,7,HistGradientBoostingClassifier,0.925415907028749,"{'learning_rate': 0.16676553130996996, 'max_depth': 8, 'min_samples_leaf': 103, 'max_features': 0.7919771953723984, 'l2_regularization': 0.03462164548269069, 'max_bins': 255}"
4,6,HistGradientBoostingClassifier,0.9285929720078503,"{'learning_rate': 0.0726817016187954, 'max_depth': 9, 'min_samples_leaf': 49, 'max_features': 0.6539496939376908, 'l2_regularization': 0.004171317190582968, 'max_bins': 255}"
5,15,HistGradientBoostingClassifier,0.9319989558511202,"{'learning_rate': 0.02807083845771337, 'max_depth': 4, 'min_samples_leaf': 144, 'max_features': 0.743575486012608, 'l2_regularization': 0.005204938780765349, 'max_bins': 128}"
6,11,HistGradientBoostingClassifier,0.9286254920196114,"{'learning_rate': 0.08679822369928115, 'max_depth': 5, 'min_samples_leaf': 194, 'max_features': 0.9070961367252672, 'l2_regularization': 0.001549349670989586, 'max_bins': 255}"
7,1,HistGradientBoostingClassifier,0.9372677237049792,"{'learning_rate': 0.19335898508060284, 'max_depth': 3, 'min_samples_leaf': 49, 'max_features': 0.8766331785817129, 'l2_regularization': 0.01693983109793878, 'max_bins': 128}"
8,12,HistGradientBoostingClassifier,0.7562186115455192,"{'learning_rate': 0.0539293351969745, 'max_depth': 9, 'min_samples_leaf': 17, 'max_features': 0.6103734321272762, 'l2_regularization': 0.06875055871718164, 'max_bins': 2}"
9,14,HistGradientBoostingClassifier,0.9330022880429224,"{'learning_rate': 0.08716405958252987, 'max_depth': 6, 'min_samples_leaf': 62, 'max_features': 0.9620977096214796, 'l2_regularization': 0.03680121775044614, 'max_bins': 255}"
10,4,HistGradientBoostingClassifier,0.927268726717163,"{'learning_rate': 0.08891323669332386, 'max_depth': 6, 'min_samples_leaf': 125, 'max_features': 0.5544322283381239, 'l2_regularization': 0.0036232268809146075, 'max_bins': 255}"
11,5,HistGradientBoostingClassifier,0.9277770559793023,"{'learning_rate': 0.06000108668141916, 'max_depth': 10, 'min_samples_leaf': 152, 'max_features': 0.8107132696733823, 'l2_regularization': 0.03797445509857453, 'max_bins': 255}"
12,10,HistGradientBoostingClassifier,0.925525518026884,"{'learning_rate': 0.05870345109312386, 'max_depth': 7, 'min_samples_leaf': 131, 'max_features': 0.7943591858985268, 'l2_regularization': 0.003369288984358487, 'max_bins': 128}"
13,0,HistGradientBoostingClassifier,0.9325944465115018,"{'learning_rate': 0.0929664326799528, 'max_depth': 4, 'min_samples_leaf': 38, 'max_features': 0.711626565793424, 'l2_regularization': 0.002782896305112287, 'max_bins': 128}"
14,8,HistGradientBoostingClassifier,0.9339379013784607,"{'learning_rate': 0.15310784362608512, 'max_depth': 3, 'min_samples_leaf': 169, 'max_features': 0.5136047332164249, 'l2_regularization': 0.0070379417119073055, 'max_bins': 128}"
15,9,HistGradientBoostingClassifier,0.9300997346267419,"{'learning_rate': 0.028698867351145612, 'max_depth': 12, 'min_samples_leaf': 71, 'max_features': 0.5803826690492104, 'l2_regularization': 0.016248164801120336, 'max_bins': 128}"
16,17,HistGradientBoostingClassifier,0.9292117424516538,"{'learning_rate': 0.1417322314338188, 'max_depth': 11, 'min_samples_leaf': 63, 'max_features': 0.7347196348860956, 'l2_regularization': 0.0024811778337798917, 'max_bins': 128}"
17,16,HistGradientBoostingClassifier,0.9280178832801512,"{'learning_rate': 0.06697793333692287, 'max_depth': 10, 'min_samples_leaf': 199, 'max_features': 0.513432082441335, 'l2_regularization': 0.03504793697837866, 'max_bins': 128}"
18,19,HistGradientBoostingClassifier,0.7486435838032023,"{'learning_rate': 0.0768373868461564, 'max_depth': 3, 'min_samples_leaf': 168, 'max_features': 0.9578086316026315, 'l2_regularization': 0.15534320143226882, 'max_bins': 2}"
19,20,HistGradientBoostingClassifier,0.7527360848232377,"{'learning_rate': 0.13592319423992033, 'max_depth': 8, 'min_samples_leaf': 52, 'max_features': 0.6748516131677389, 'l2_regularization': 0.012182048645054842, 'max_bins': 2}"
20,22,HistGradientBoostingClassifier,0.9237446459253347,"{'learning_rate': 0.13134882320982907, 'max_depth': 9, 'min_samples_leaf': 170, 'max_features': 0.928923465043674, 'l2_regularization': 0.19485023355629313, 'max_bins': 128}"
21,24,HistGradientBoostingClassifier,0.9325668434087163,"{'learning_rate': 0.19201091368112547, 'max_depth': 11, 'min_samples_leaf': 79, 'max_features': 0.5410536575584326, 'l2_regularization': 0.0025871740809547414, 'max_bins': 255}"
22,18,HistGradientBoostingClassifier,0.9257795879327383,"{'learning_rate': 0.05645489497382152, 'max_depth': 6, 'min_samples_leaf': 130, 'max_features': 0.7578666226489451, 'l2_regularization': 0.004840331177911942, 'max_bins': 255}"
23,23,HistGradientBoostingClassifier,0.9265083595382548,"{'learning_rate': 0.06453651038111465, 'max_depth': 11, 'min_samples_leaf': 165, 'max_features': 0.9904729357007322, 'l2_regularization': 0.013290300509435884, 'max_bins': 255}"
24,21,HistGradientBoostingClassifier,0.9306474864684692,"{'learning_rate': 0.04829851149518125, 'max_depth': 12, 'min_samples_leaf': 25, 'max_features': 0.6521829776163817, 'l2_regularization': 0.07808352768003833, 'max_bins': 255}"
25,25,HistGradientBoostingClassifier,0.939643134742432,"{'learning_rate': 0.1713959106330906, 'max_depth': 3, 'min_samples_leaf': 83, 'max_features': 0.8739111220583115, 'l2_regularization': 0.004397435710567817, 'max_bins': 128}"
26,26,HistGradientBoostingClassifier,0.9389203316891802,"{'learning_rate': 0.12934477238945827, 'max_depth': 3, 'min_samples_leaf': 68, 'max_features': 0.8376120457277906, 'l2_regularization': 0.06999463243301711, 'max_bins': 128}"
27,27,HistGradientBoostingClassifier,0.9392104621283307,"{'learning_rate': 0.19082142543477318, 'max_depth': 3, 'min_samples_leaf': 49, 'max_features': 0.86490551846388, 'l2_regularization': 0.024461238884303953, 'max_bins': 128}"
28,28,HistGradientBoostingClassifier,0.9390407543453443,"{'learning_rate': 0.11828818679639168, 'max_depth': 3, 'min_samples_leaf': 49, 'max_features': 0.9821864213118271, 'l2_regularization': 0.0032360598609915076, 'max_bins': 128}"
29,29,HistGradientBoostingClassifier,0.9381151684412242,"{'learning_rate': 0.19824973522020015, 'max_depth': 3, 'min_samples_leaf': 63, 'max_features': 0.9590050949999199, 'l2_regularization': 0.012861203039117431, 'max_bins': 128}"
30,30,HistGradientBoostingClassifier,0.9371496576278359,"{'learning_rate': 0.08722899825701508, 'max_depth': 3, 'min_samples_leaf': 32, 'max_features': 0.7357372490945813, 'l2_regularization': 0.017947702023184058, 'max_bins': 128}"
31,31,HistGradientBoostingClassifier,0.9303706001850741,"{'learning_rate': 0.16434366377155898, 'max_depth': 5, 'min_samples_leaf': 24, 'max_features': 0.8344801166488302, 'l2_regularization': 0.003105796786326418, 'max_bins': 128}"
