iter	MultiClass
0	0.9309182535
1	0.8023267766
2	0.7197734883
3	0.6664702303
4	0.6050185912
5	0.5776270539
6	0.5434602374
7	0.5062415647
8	0.4889812971
9	0.4796103201
10	0.4672182344
11	0.4593692828
12	0.449663718
13	0.4328594144
14	0.4226961593
15	0.4123335445
16	0.4069173114
17	0.3953989799
18	0.3882265363
19	0.3779709256
20	0.3640869788
21	0.3577538138
22	0.3536166857
23	0.3476883555
24	0.3346218928
25	0.3307513182
26	0.3254183906
27	0.3160008408
28	0.3085566241
29	0.3041852696
30	0.3013416623
31	0.2975661529
32	0.2947645694
33	0.2847416946
34	0.282176342
35	0.2736412012
36	0.2694502059
37	0.2610343298
38	0.2546712058
39	0.2513591844
40	0.2444477635
41	0.2366915828
42	0.2345432226
43	0.2287098232
44	0.2234530526
45	0.2194588555
46	0.216626845
47	0.2138530522
48	0.2106777796
49	0.2089403822
50	0.2051090337
51	0.2025409645
52	0.2017900507
53	0.1997655089
54	0.1958248853
55	0.1938606395
56	0.1915173181
57	0.1888107725
58	0.1843872952
59	0.1829157399
60	0.1804707132
61	0.1781635068
62	0.1749283928
63	0.1739161617
64	0.1719611198
65	0.1700316975
66	0.1682757776
67	0.1669861644
68	0.1656699802
69	0.1634615761
70	0.1619424839
71	0.1596658524
72	0.1590641455
73	0.1571398571
74	0.1552294495
75	0.1542761985
76	0.1536005971
77	0.1520380861
78	0.1512890851
79	0.1500403701
80	0.1489191094
81	0.1482825927
82	0.1471626174
83	0.1456933138
84	0.1442789879
85	0.1429900463
86	0.1420544355
87	0.1412396352
88	0.1402693924
89	0.1393287598
90	0.1384510951
91	0.1371115746
92	0.136445691
93	0.1338431962
94	0.1314606064
95	0.1307581186
96	0.1303817087
97	0.129717594
98	0.1292878837
99	0.1282839581
100	0.126931471
101	0.1261950404
102	0.1255975422
103	0.1244803953
104	0.1231571944
105	0.1221288481
106	0.1206571326
107	0.1202298366
108	0.119593041
109	0.1188141163
110	0.1183228134
111	0.117814267
112	0.1174153924
113	0.1169849729
114	0.116032068
115	0.11568571
116	0.1153707075
117	0.1148950916
118	0.1144531316
119	0.113220876
120	0.1120529122
121	0.1115412406
122	0.1108492758
123	0.1106141008
124	0.110147133
125	0.1097107736
126	0.1090464369
127	0.1088527672
128	0.1083598115
129	0.1078837994
130	0.1073505827
131	0.1069403417
132	0.106409623
133	0.1060933494
134	0.1054094714
135	0.1049886866
136	0.1047302012
137	0.1040435269
138	0.1035648234
139	0.1032679687
140	0.1030220193
141	0.1026185382
142	0.1023576053
143	0.1019347772
144	0.1016060812
145	0.1014622808
146	0.1010449524
147	0.1008191237
148	0.09981930957
149	0.09933079091
150	0.09913109113
151	0.09865823259
152	0.09847016335
153	0.09813715704
154	0.09750353472
155	0.09724515771
156	0.09686853401
157	0.09606803119
158	0.0954618217
159	0.0951923558
160	0.09500694347
161	0.09466428677
162	0.09410845621
163	0.09375342547
164	0.09329892304
165	0.09309034608
166	0.09268812013
167	0.09226285883
168	0.09193354439
169	0.09135165087
170	0.0907522797
171	0.08990022804
172	0.08960447137
173	0.0890084176	0.09743348302
177	0.09680850495
178	0.09614637136
179	0.09543518087
180	0.09487249689
181	0.09431623535
182	0.09369706972
183	0.09315670889
184	0.09253220811
185	0.09198760988
186	0.09140094461
187	0.09077977636
188	0.09033675247
189	0.08974073113
190	0.08906385055
191	0.08860484844
192	0.08814583
193	0.08765020881
194	0.087177578519195	0.08673368189
196	0.08620744177
197	0.08572487287
198	0.08514469445
199	0.08466325746
200	0.08426050403
201	0.08376301647
202	0.08316510884
203	0.08268629289
204	0.08224528607
205	0.08186439864
206	0.08147405094
207	0.08102438277
208	0.08057981082
209	0.08017181034
210	0.07970670911
211	0.07921099458
212	0.07872895909
213	0.07839087306
214	0.07795565373
215	0.07761645334
216	0.07714020054
217	0.07663956973
218	0.07631612858
219	0.0758703683
220	0.07545070094
221	0.07505845677
222	0.07466269719
223	0.07427950736
