iter	Passed	Remaining
0	7	3033
1	26	5241
2	32	4336
3	54	5369
4	60	4776
5	66	4369
6	73	4108
7	78	3870
8	84	3683
9	90	3514
10	95	3390
11	102	3319
12	109	3247
13	114	3162
14	120	3093
15	126	3042
16	133	2999
17	139	2950
18	144	2907
19	151	2874
20	157	2839
21	163	2806
22	169	2774
23	174	2736
24	178	2679
25	181	2608
26	187	2592
27	193	2575
28	199	2556
29	206	2544
30	210	2505
31	213	2459
32	217	2416
33	220	2377
34	224	2339
35	227	2300
36	230	2263
37	234	2232
38	237	2201
39	241	2169
40	244	2140
41	247	2111
42	251	2084
43	254	2059
44	257	2034
45	261	2011
46	264	1989
47	268	1971
48	272	1949
49	275	1927
50	279	1909
51	282	1891
52	286	1874
53	289	1856
54	293	1839
55	296	1823
56	300	1809
57	304	1793
58	307	1778
59	310	1760
60	314	1745
61	317	1732
62	321	1719
63	324	1703
64	327	1689
65	331	1675
66	334	1663
67	338	1650
68	341	1638
69	345	1626
70	348	1616
71	352	1604
72	355	1592
73	365	1609
74	370	1604
75	394	1680
76	399	1676
77	410	1694
78	418	1700
79	424	1698
80	429	1693
81	435	1690
82	441	1687
83	447	1683
84	453	1679
85	458	1675
86	464	1670
87	469	1666
88	475	1662
89	481	1658
90	486	1652
91	492	1648
92	497	1642
93	501	1633
94	505	1622
95	508	1611
96	511	1599
97	517	1593
98	521	1586
99	527	1581
100	533	1578
101	538	1573
102	544	1569
103	550	1565
104	556	1563
105	562	1559
106	567	1554
107	573	1550
108	578	1544
109	583	1539
110	589	1534
111	595	1530
112	600	1526
113	606	1521
114	612	1517
115	616	1510
116	622	1505
117	628	1500
118	633	1496
119	639	1492
120	645	1488
121	651	1483
122	656	1479
123	662	1473
124	667	1469
125	672	1463
126	678	1459
127	684	1455
128	691	1451
129	696	1445
130	701	1439
131	706	1434
132	711	1429
133	717	1423
134	722	1418
135	728	1413
136	733	1407
137	738	1402
138	744	1397
139	749	1391
140	754	1385
141	760	1381
142	765	1374
143	770	1370
144	776	1364
145	781	1359
146	786	1354
147	792	1349
148	798	1345
149	804	1340
150	809	1335
151	815	1330
152	821	1325
153	827	1321
154	832	1315
155	837	1310
156	843	1305
157	848	1300
158	854	1295
159	859	1288
160	862	1279
161	865	1271
162	868	1263
163	872	1255
164	875	1247
165	879	1239
166	882	1231
167	886	1223
168	889	1215
169	892	1207
170	896	1200
171	900	1193
172	904	1186
173	908	1179
174	911	1171
175	914	1163
176	917	1156
177	920	1148
178	924	1140
179	927	1133
180	930	1126
181	934	1119
182	938	1112
183	941	1105
184	944	1098
185	948	1090
186	951	1083
187	955	1077
188	958	1070
189	961	1063
190	965	1056
191	968	1049
192	972	1043
193	976	1036
194	981	1031
195	986	1027
196	991	1022
197	996	1016
198	1002	1012
199	1005	1005
200	1008	998
201	1012	992
202	1016	986
203	1019	979
204	1023	973
205	1026	967
206	1030	960
207	1034	954
208	1037	948
209	1041	942
210	1045	936
211	1049	930
212	1053	924
213178	20095	24811
179	20212	24704
180	20307	24571
181	20365	24394
182	20429	24224
183	20489	24052
184	20550	23882
185	20620	23724
186	20680	23556
187	20763	23413
188	20816	23239
189	20878	23075
190	20928	22900
191	20974192	208192	21028193	208193	21068194	20987	22063
195	210195	21195196	210196	21266197	211197	21357	21789
198	21411	21626
199	21470200	213200	21530201	214201	21673	21244
202	21728	21086
203	21810	20954
204	21904	20835
205	21973	20693
206	22021	20532
207	22176	20470
208	22295	20375
209	22409	20275
210	22537	20187
211	22625	20064
212	22752	19975
213	22810	19825
214	22864	19674
215	22924	19528
216	22988	19386
217	23053	19246
218	23153	19136
219	23225	19002
220	23280	18856
221	23324	18701
222	23378	18556
223	23426	18406
224	23483	18265
225	23533	18118
226	23600	17986
227	23656	17846
228	23720	17712
229	23755	17558
230	23797	17410
231	23844	17266
232	23901	17131
233	23958	16996
234	24022	16866
235	24086	16738
236	24128	16594
237	24178	16457
238	24224	16318
239	24272	16181
240	24317	16043
241	24354	15900
242	24421	15778
243	24472	15646
244	24511	15507
245	24573	15383
246	24649	15268
247	24699	15138
248	24750	15009
249	24800	14880
250	24856	14755
251	24896	14621
252	24951	14497
253	24991	14365
254	25040	14238
255	25091	14113
256	25132	13984
257	25191	13865
258	25270	13757
259	25313	13630
260	25368	13510
261	25418	13388
262	25464	13264
263	25507	13140
264	25556	13019
265	25612	12902
266	25676	12789
267	25729	12672
268	25772	12550
269	25823	12433
270	25863	12311
271	25910	12193
272	25946	12070
273	25991	11952
274	26041	11836
275	26106	11728
276	26141	11607
277	26184	11491
278	26237	11379
279	26292	11268
280	26346	11157
281	26404	11048
282	26456	10937
283	26506	10826
284	26549	10712
285	26589	10598
286	26635	10487
287	26664	10369
288	26722	10263
289	26748	10146
290	26791	10035
291	26815	9917
292	26851	9805
293	26884	9693
294	26925	9583
295	26966	9474
296	27004	9365
297	27049	9258
298	27087	9150
299	27126	9042
300	27179	8939
301	27240	8839
302	27290	8736
303	27356	8638
304	27423	8541
305	27476	8440
306	27532	8340
307	27571	8235
308	27619	8133
309	27674	8034
310	27713	7930
311	27789	7838
312	27822	7733
313	27856	7629
314	27890	7525
315	27913	7419
316	27958	7320
317	28013	7223
318	28059	7124
319	28107	7026
320	28146	6927
321	28183	6827
322	28215	6726
323	28275	6632
324	28307	6532
325	28374	6440
326	28426	6346
327	28475	6250
328	28509	6152
329	28549	6055
330	28592	5960
331	28644	5866
332	28704	5775
333	28766	5684
334	28797	5587
335	28832	5491
336	28873	5397
337	28920	5304
338	28977	5214
339	29019	5121
340	29065	5028
341	29122	4938
342	29175	4848
343	29220	4756
344	29275	4667
345	29323	4576
346	29382	4487
347	29449	4400
348	29506	4311
349	29561	4223
350	29613	4134
351	29658	4044
352	29693	3953
353	29731	3863
354	29757	3772
355	29794	3682
356	29832	3593
357	29864	3503
358	29919	3417
359	29969	3329
360	30016	3242
361	30061	3155
362	30121	3070
363	30164	2983
364	30210	2896
365	30254	2810
366	30328	2727
367	30381	2641
368	30440	2557
369	30490	2472
370	30547	2387
371	30603	2303
372	30662	2219
373	30734	2136
374	30801	2053
375	30848	1969
376	30894	1884
377	30934	1800
378	30998	1717
379	31067	1635
380	31128	1552
381	31169	1468
382	31208	1385
383	31260	1302
384	31296	1219
385	31339	1136
386	31376	1054
387	31418	971
388	31461	889
389	31498	807
390	31543	726
391	31587	644
392	31625	563
393	31660	482
394	31708	401
395	31751	320
396	31800	240
397	31841	160
398	31886	79
399	31928	0
5	0
32005	0
	5783
380	110001	5485
381	110111	5188
382	110228	4892
383	110331	4597
384	110450	4303
385	110554	4009
386	110651	3716
387	110753	3425
388	110840	3134
389	110927	2844
390	111031	2555
391	111132	2268
392	111218	1980
393	111322	1695
394	111412	1410
395	111513	1126
396	111600	843
397	111704	561
398	111777	280
399	111860	0
